battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,kfold,px_height_bin3,px_width_bin3,Mobile_wt_bin3,m_dep_bin3,size_screen,px_res,mobile_g
7.154615356913663,1,2.5,0,5,1,2.0794415416798357,0.5,4.663439094112067,6,6,6.329720905522696,7.3987862754199485,7.048386408721883,7,2,7,1,0,0,1,0,0,2,0,1,2.70805020110221,13.72611197021669,1
6.741700694652055,1,2.6,0,0,1,4.07753744390572,0.1,4.820281565605037,4,15,7.039660349862076,7.592870287844818,7.718240951959316,16,8,13,1,0,0,2,0,1,2,1,0,4.859812404361672,14.631150112264761,1
6.98933526597456,1,2.6,0,3,1,3.713572066704308,0.9,4.68213122712422,3,11,5.777652323222656,6.648984550024776,7.57353126274595,15,4,10,1,1,0,1,0,0,0,0,2,4.110873864173311,12.4222439471023,1
6.853299093186078,1,2.6,1,17,0,1.791759469228055,0.1,5.117993812416755,3,20,7.4377951216719325,7.4798641311650265,8.221747728346623,15,7,4,0,1,0,3,0,2,2,2,0,4.663439094112067,14.916506337193963,0
6.961296045910167,1,1.8,1,3,1,3.713572066704308,0.8,5.2832037287379885,7,10,3.332204510175204,6.652863029353347,7.739359202689098,16,12,12,1,0,1,1,0,0,0,2,2,5.262690188904886,9.947456589918252,1
7.557472901614746,0,0.7,0,1,0,3.58351893845611,0.6,4.77912349311153,8,2,6.849066282633458,7.43955930913332,6.467698726104354,17,1,8,1,0,1,1,0,1,2,0,1,2.8903717578961645,14.286977491058524,1
6.398594934535208,0,0.5,0,0,0,2.70805020110221,0.8,4.727387818712341,5,2,5.771441123130016,6.617402977974478,7.412160334945205,18,0,9,0,0,0,0,0,0,0,0,2,0.0,12.384390364318106,0
7.355641102974253,0,1.5,1,1,0,3.7612001156935624,0.7,4.6913478822291435,2,2,7.3901814282264295,7.5822291942764615,8.124743020385568,7,0,7,0,1,0,3,0,2,2,0,1,0.0,14.971283908616973,0
7.009408932708637,1,1.9,0,4,0,4.007333185232471,0.7,4.68213122712422,3,9,6.421622267806518,7.10085190894405,7.891704659330107,9,3,9,1,0,1,2,0,0,1,0,1,3.332204510175204,13.520023438558086,1
7.187657164114956,0,1.7,1,6,0,2.0794415416798357,0.8,4.948759890378168,3,9,5.181783550292085,7.596392304064196,7.257707677160043,19,17,12,0,1,0,1,0,0,2,1,2,5.780743515792329,12.772042489342365,0
